1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,0,16,13,0,1,25,0,11,5.7,2,2,5,16,0,8,14
0,21,53,11,2,0,1,0,9.5,11,1,12,1,17,17.5,0,0
0,3,26,1,14,0,11,0,2.3,0,18,25,3.5,22,0,0,8.2
6,8,11,18,2,3,1,0,0,0,20,16.5,2,2,13,2,0
10,0,13,0,1,0,9,0,0,0,22,24,1,0,22,14,7.3
0,2,0,0,2,2,5,0,0,0,5,0,10,0,23,1.4,26
25,18,0,25,0,0,10,9,0,7,3.5,7,4,21,40,6.4,29
3,0,0,12,0,2,25,16,13,8,2.4,5,20,18,2.5,10,20
6,0,12,30,0,0,5,32,7.3,1,7,0,4,9,4.6,24,12
5.5,0,21,7.5,7,0,35,11,13.5,0,9.3,13,15,0,7.9,6.5,35.2
0,70.5,21,40,11,2,9,42,8,18,14.6,0,67,18,18.5,18,29
20,0,30,10,4,1.5,13,9,17.5,13,0,1.5,23,35,19,14,2
6,0,8,4,2,2,3,49,48.3,2,25,1.9,7,24,29.3,0,2.5
19,7,3,5,4,13.5,6,3,46,0,0,0,6,19,0,3,16.3
0,6,4,4,8,30,28,38,42,6.5,0,0,12,44,15,33,0.5
0,2,21,0,4.5,2,3,2,5.2,0,2,7,0,26,0,17.5,0.2
0,0,15,0,2,1,0,3,2,0,13,2,0,29,3,6.5,1
18,15,45,0,5,10,28,2,4,0,17,16,0,0,2,32,21
0,20,4,1,0,6,15,33,38,0,0,22,1,0,0.2,53,4
1,40,3,1,3.5,1,31,8,32,2.7,9.7,17,27,10.2,1,35,1
52,38,8,0,10,0,2,35,0,0,0,13.5,29,0,0,42.5,10
3,39,0,0,6.5,9,3,2,22,0,0,0,1,0,0,1.5,1.5
8,20,2,5,0,2,8,10,4,25,4,9,27,4.5,1,28,17
20,25,7,56,3,28,48,12,6,15,5.2,15,3,5,2,8.2,1
4,18,16,18,2,0,11,37.2,4,17,17,8.5,15,0,21,26,0
0,15,0,10,0,0,13,13.5,2.4,8,10.6,13,8,2,12,0,1.2
0,10,14,10,1,1,10,0,14.2,1,0,0,5,0,4.5,6.5,10
3,0,1,2,17,0,6,0,2,8,9,0,1,9,3,9,23
0,0,1,2.7,0,0,3,0,0,0,14,0,2.5,7.2,7,2,7
0,0,3,11,7,0,8,0,2.4,5,18,19,0,0,32,0,30
15,0,12,3.5,23,3,0,0,7.3,0,10,26,22,17,3.5,15.5,10
13,0,7,11,2,6,6,0,2,32,5,14,3.7,29,23,2,26
34,5,45,3,0,12,4,9,9.3,39,20,7,20,36,59,2.5,3
0,0,18,7,0,0,0,0.4,22,0,32.5,1.6,5,13,0,3.2,17
8,0,23,30,16,0,0,3,35,19,18.5,0,35,16,20,1.5,11
9,0,0,41,5,21,0,0,0,12,15,7.5,0,0,0,0,7
24,38,18,4,5,2,3,0,0,10,11,7,0,9,1,0,12
16,0,0,30,6.1,27,4,3,0,0,23,5,1,0,11,3,16
0,0,3,56,1,7,16,5.1,0,0,19,6.5,0,7,0,2,1
0,12,0,1,4,0,0,8,9.2,0,37,9.6,0,0.3,0,0,0
12,2,0,13,6,0,0,1,0,0,1.2,0,1,0,0,15.5,13.2
13,11,18,16,7,16,0,1,1.5,0,2.3,2,15,18,5.5,25,2
9,9,0,1,6,4,0,1,0,10,24,4,0.7,0,0,58,0
6,7,0,1,1,2,0,6,1,17,0,0.5,2.3,3,0,2.5,0
4,10,0,2,4,2,0,1.6,3.6,33.2,15,0,6.8,0,0,6.3,0
0,3,16,0,7,7,0,0,7,12,15,3.5,17,32,1,23,0
9,16,0,0,1,0,0,9,6.2,15,17.2,7.5,19,6,0,10,0
5,0,0,0,8,2,17,51.7,9.3,0,10,10,12,0,7,3,34
13,0,0,1,20,3,27,4,32,0,8,0,19,6.3,0,17,8
7,0,0,8,19,22,4,0,14,0,2,20,18,2,16,9.4,1
0,2,0,0,12,1,7,14,3.5,19,3,22,12,0,0,20,2.5
9,0,0,5,17,8,11,0,0,25,0,0,30,0,0,4.5,0
0,21,7,0,6,3,5,2.8,0,2,0,10,4,7,0,0,0
0,8,6,0,7,4,4,0,3.4,1,0,12,44.4,2,2,10,2
32,12,15,0,1,1,54,26,30,0,1,22,12,0,2.5,1,0
9,3,34,0,0,10,0,19,13.2,2.5,5.2,9.2,44,2,35,28,2
13,11,36,0,3,9,0,0,0,1.5,0,27.5,24,0,5,1.5,0
16,5,6,0,4,0,29,4,10.2,0,22,29,12,2,0,0,1
20,0,62,3,13,0,4,5.5,17.3,0,18,15,4.5,13,7,7,0
4,0,0,4,2,2,4,0,0,25,0,22,3,6,9,0,0
