"2006","2007","2008","2009"
13.8,0,0,0
22.2,0,0,0
4,0,0.4,4.4
0.6,2.4,0,0
4,3.2,0,0.2
3.2,2.8,0,4.6
0.2,0,0,13.6
0,0,0,0
0.2,0.2,0,0
0,0,4,0
0,0.2,0,0
0,0.6,0,0
0,0.6,0.2,0
0,0,0,5.6
0,0.2,0,0
0.6,0.2,0,0.8
9.2,0.8,0,25.2
10.6,13.6,17.4,0.4
4,0.6,0,8
0.4,0.2,0,10.6
1.2,12.8,0,21.2
2.2,1.8,0,0.8
12.6,0.8,0,4
5.8,0,0,25
6.8,2.4,0,31.8
3,53.2,2.6,0.8
0.2,63.8,6.8,15.2
2.8,4.6,6,1.8
0.8,0,0.2,13
10.4,0.6,8.4,0.2
9.6,0.8,1.2,4.2
2,1,0,8.4
5.4,3.8,0.4,5.2
62.8,21,0.2,0
41.8,16,0,11.4
4,7.4,2,26.6
1.6,1.2,0,19.6
0,3,0,7.4
0.6,4.4,0.2,0.2
2,55.6,22,7.2
2.2,15.4,0,4
19.6,46.2,0,2.8
0,66.2,0,2.4
0,3.4,23.4,0
25.8,17.2,0.2,42.2
21.6,2.6,0,9.6
13.6,3,20,4.2
70.8,13.4,13.4,12.6
10.4,16.8,8.4,0.2
40.8,33.2,11.2,7.6
0,0.2,51,6
1,1.4,4,0
0.2,4.8,8,2.2
0.6,5.4,31.6,0.2
50.4,58.2,10.8,0
5.8,35.2,27,0.2
0.8,14.2,29.2,0.2
0,4,2.4,5
32.2,0.2,9,0
57.4,11.2,10.6,19
