2007,2008,2009,2010,2011,2012
0,0,0,27,19,0
0,0,0,2,8,0
0,8,0,7,17,0
0,9,6,6,4,0
0,6,0,0,4,0
0,0,0,6,14,3
0,15,0,0,13,0
0,0,0,9,6,0
0,12,0,0,9,0
0,12,0,5,0,0
0,0,0,0,5,0
0,0,0,0,10,0
0,31,0,0,6,0
0,8,0,0,0.5,0
0,0,7,0,24,19
0,0,0,3,0,40.8
0,0,0,26,5,0.8
0,0,0,0,0,2.3
0,2,0,0,0,0.9
15,0,0,0,0,0
0,0,0,5,0,0
0,0,8,0,8,7
0,0,0,0,11,12
0,28,19,0,2,11
0,0,0,5,0,0
56,0,0,1,0,0
0,0,0,0,0,0
0,0,5,0,0,42
0,0,50,0,0,0
0,0,0.2,11,0,0
0,0,12,2,32,6
0,0,3,0,0,0
0,0,0,0,0,0
0,0,17,0,0.2,0
0,0,0,10,2,0
6,0,0,0,0,0
0,8,11,6,8,6
0,6,31,0,0,0
0,1,7,0.4,0,0
13,0,0,0,0,0
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,12,0,0
0,0,0,0,0,0
0,0,0.8,0,0,0
0,0,0,0,0,0
21,30,0,0,0,0
0,18,0,0,0,0
0,0,0,0,0,0
0,3,0,0,0.2,0
3,0,0,0,1,0
0,0,35,0,0,0
0,0,2,0,0,0
0,0,0,0,0,4
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.3,0,0.2,0
20,0,0,0.2,2,0
5,0,0,0.2,0.2,0
2,0,0,4,15,0
