yr2006,yr2007,yr2008,yr2009,yr2010,yr2011
18.2,14.2,18,26.2,0,1.4
31.7,10.6,0,19.7,0,37.6
7.2,15.4,3.8,5.9,0,37.7
1,6.8,7.6,9,0,9.5
4.1,6.8,55.5,3.7,2,4.6
0.1,0,4.2,0.3,40.3,18.2
8.7,13.3,52.3,1.5,3.5,50.6
0.1,57.5,61.5,2,1.6,20.7
2.2,20.6,53.1,0,62.1,40
0,40.4,4.4,1.7,1,39.1
0.2,18.7,2.2,4.3,5.8,47
7.7,61.7,0.3,18.6,6.2,39
2.6,17.4,21.4,58.6,0.1,2.1
5.3,63.4,13.9,35.4,7.3,15.4
14.2,1,8.5,6.5,0.1,2.5
8.7,0.5,14.4,38.1,0,11.3
0,3.8,18.1,60.1,9,5.2
5.5,9.5,47.2,16.2,30,0.8
15.4,0,11,8,21.5,7.5
0,0,34.3,57.3,2.5,0.2
28.8,20.6,36.1,1.9,7.1,10.6
61.1,25,14.5,1.7,3.2,40.8
5.1,4.2,16.1,13.9,0.3,0
6.4,12,16.1,15.4,40.3,43.6
0.7,0,13.2,26.7,38.1,86.2
7.4,4.4,0.1,2.6,14,110.1
16.3,7.6,0.3,4.5,60.1,13.6
17.1,30.5,0,17.7,0.5,0.6
3.8,28.5,0.4,12.5,11.6,0.7
8.5,7.6,11.2,4.5,0.1,6.38
10.4,12,14.4,12,0.3,8
3.9,0,19.7,3.1,0,0.1
0.4,2.7,0.2,16.5,0.2,37
5.7,4,0.6,6.1,0.8,0
8.3,0,0.5,0.2,0,0
1.1,3,2.8,16.8,1.8,0
0.2,3.1,0.5,0.1,0.1,10.2
29.1,2.7,0,11.7,0,30.1
0,2.7,2.4,7.8,0,22.2
17.5,3,38.8,0.7,0,60
4.5,1,53.2,5,0,32.1
8.5,29.5,0.8,5.2,4.1,48.2
12.4,33.6,0,3.3,20.4,77.6
0,13.6,0,1.3,11.6,40
0,18,0,2.4,14.5,26.2
0.3,8.7,4.5,9.1,51.5,31.2
0,2.6,0.6,10,26,12
0,11.8,26,3.4,51.5,26
0,12.4,12,2.5,7.2,6.1
3.9,24.9,0,56.2,8.6,16.7
35.1,51.8,0.2,18.9,22,7.5
21.5,14.9,2.9,0.8,19,0
16.8,39.9,1.7,0.2,15,0
10.7,11.2,11.8,2.7,20,0
21.1,0.5,12.4,8.8,1.1,0
19.3,0.4,2.8,15.4,0,0
17.6,7.8,14.1,6.1,1.1,4
21,0,17.6,1,30.7,25.5
0.2,0,11.6,1.2,12.4,11
12.8,0,10.3,12.6,4.2,0
